cancelouPlano;genero;cidadaoIdoso;temParceiro;temDependentes;mesesContrato;assinaturaTelefonica;multiplasLinhas;segurancaOnline;backupOnline;protecaoDispositivo;suporteTecnico;streamingTV;streamingFilmes;contaOnline;gastoDiario;totalServicosMensalmente;validacaoTotalGasto;provedorInternet_DSL;provedorInternet_Fibra ótica;provedorInternet_Não;tipoContrato_Dois anos;tipoContrato_Mensal;tipoContrato_Um ano;formaPagamento_Cartão de Crédito (Automático);formaPagamento_Conta Eletrônica;formaPagamento_Conta Enviada;formaPagamento_Transferência bancária (Automático)
0.0;0.0;0.0;1.0;1.0;37.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;91.2;3374.4;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;49.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.45;1002.05;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;66.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4.0;115.8;7642.8;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;67.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.55;1376.85;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;20.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;39.4;788.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;43.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;25.1;1079.3;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;55.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;89.8;4939.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;59.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0;94.75;5590.25;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.3;243.6;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;27.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;75.75;2045.25;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;49.25;98.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;27.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;3.0;78.2;2111.4;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;25.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.5;637.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;25.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;61.6;1540.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;1.0;29.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0;45.0;1305.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;72.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;85.15;6130.8;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;14.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;51.45;720.3000000000001;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;35.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;99.25;3473.75;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;44.3;44.3;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;29.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;94.2;2731.8;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;64.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3.0;81.25;5200.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;39.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;99.95;3898.05;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;1.0;0.0;0.0;40.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;91.55;3662.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;40.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;104.5;4180.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;1.0;0.0;0.0;11.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;95.0;1045.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;50.35;302.1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;30.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;64.5;1935.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;27.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.4;523.8;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;1.0;1.0;0.0;70.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;104.8;7336.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;57.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;109.4;6235.8;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;0.0;58.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;50.3;2917.4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;16.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;71.4;1142.4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;69.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;116.0;8004.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.85;19.85;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0;99.75;99.75;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;32.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;93.95;3006.4;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;16.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;90.8;1452.8;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
1.0;0.0;0.0;1.0;0.0;49.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;3.0;84.35;4133.15;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;71.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;58.25;4135.75;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;33.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;107.55;3549.15;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.95;199.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;0.0;1.0;0.0;21.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;111.2;2335.2000000000003;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
1.0;0.0;0.0;1.0;1.0;37.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;40.2;1487.4;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;0.0;26.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;85.8;2230.8;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;35.4;1770.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
1.0;1.0;0.0;0.0;0.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;73.85;516.9499999999999;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;61.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.0;88.1;5374.099999999999;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;0.0;0.0;0.0;0.0;15.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;101.35;1520.25;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;26.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;45.8;1190.8;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;72.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0;94.65;6814.8;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;44.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20.5;902.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;66.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;89.4;5900.400000000001;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
1.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;86.25;172.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;0.0;44.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;74.85;3293.4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;0.0;0.0;0.0;12.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0;89.75;1077.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;69.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;109.95;7586.55;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;80.2;80.2;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.85;59.55;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;90.35;180.7;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;1.0;0.0;0.0;27.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;86.45;2334.15;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;26.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20.3;527.8000000000001;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;1.0;0.0;39.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;101.25;3948.75;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;0.0;0.0;0.0;0.0;25.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;94.7;2367.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;70.9;70.9;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;0.0;0.0;1.0;0.0;22.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;54.2;1192.4;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;72.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;114.9;8272.800000000001;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;24.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.55;469.2000000000001;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;19.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;86.85;1650.15;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;71.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.35;1799.85;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.0;1.0;0.0;33.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;4.0;109.9;3626.7;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.95;59.85;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;47.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;87.2;4098.400000000001;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;1.0;1.0;62.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4.0;108.15;6705.3;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;71.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;116.3;8257.3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;1.0;1.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;89.0;623.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;27.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;74.4;2008.8;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.05;40.1;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;25.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;35.05;876.2499999999999;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;30.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;74.75;2242.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;1.0;1.0;0.0;58.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4.0;105.5;6119.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
1.0;0.0;0.0;1.0;0.0;10.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;85.25;852.5;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;75.2;676.8000000000001;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;1.0;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;84.35;506.1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;69.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;84.45;5827.05;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;66.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;102.4;6758.400000000001;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
1.0;1.0;0.0;0.0;0.0;70.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4.0;115.55;8088.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
