,clienteId,cancelouPlano,genero,cidadaoIdoso,temParceiro,temDependentes,mesesContrato,assinaturaTelefonica,multiplasLinhas,provedorInternet,segurancaOnline,backupOnline,protecaoDispositivo,suporteTecnico,streamingTV,streamingFilmes,tipoContrato,contaOnline,gastoDiario,formaPagamento,totalServicosMensalmente,totalGasto,validacaoTotalGasto,diferencaTotalGasto
15,0020-INWCK,Não,Feminino,Não,Sim,Sim,71,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Não,Sim,Dois anos,Yes,3.0,Cartão de Crédito (Automático),95.75,6849.4,6798.25,51.149999999999636
16,0020-JDNXP,Não,Feminino,Não,Sim,Sim,34,No,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Um ano,No,2.0,Conta Enviada,61.25,1993.2,2082.5,-89.29999999999995
17,0021-IKXGC,Não,Feminino,Sim,Não,Não,1,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,72.1,72.1,72.1,0.0
18,0022-TCJCI,Sim,Masculino,Sim,Não,Não,45,Yes,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Um ano,No,2.0,Cartão de Crédito (Automático),62.7,2791.5,2821.5,-30.0
19,0023-HGHWL,Sim,Masculino,Sim,Não,Não,1,No,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Yes,1.0,Conta Eletrônica,25.1,25.1,25.1,0.0
20,0023-UYUPN,Não,Feminino,Sim,Sim,Não,50,Yes,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,No,1.0,Conta Eletrônica,25.2,1306.3,1260.0,46.299999999999955
21,0023-XUOPT,Sim,Feminino,Não,Sim,Não,13,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Não,Mensal,No,3.0,Conta Eletrônica,94.1,1215.6,1223.3,-7.7000000000000455
22,0027-KWYKW,Não,Feminino,Não,Sim,Sim,23,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Não,Mensal,Yes,3.0,Conta Eletrônica,83.75,1849.95,1926.25,-76.29999999999995
23,0030-FNXPP,Não,Feminino,Não,Não,Não,3,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,No,1.0,Conta Enviada,19.85,57.2,59.550000000000004,-2.3500000000000014
24,0031-PVLZI,Sim,Feminino,Não,Sim,Sim,4,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,No,1.0,Conta Enviada,20.35,76.35,81.4,-5.050000000000011
25,0032-PGELS,Sim,Feminino,Não,Sim,Sim,1,No,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,No,1.0,Transferência bancária (Automático),30.5,30.5,30.5,0.0
26,0036-IHMOT,Não,Feminino,Não,Sim,Sim,55,Yes,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Yes,3.0,Transferência bancária (Automático),103.7,5656.75,5703.5,-46.75
27,0040-HALCW,Não,Masculino,Não,Sim,Sim,54,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,No,1.0,Cartão de Crédito (Automático),20.4,1090.6,1101.6,-11.0
28,0042-JVWOJ,Não,Masculino,Não,Não,Não,26,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Yes,1.0,Transferência bancária (Automático),19.6,471.85,509.6,-37.75
29,0042-RLHYP,Não,Feminino,Não,Sim,Sim,69,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,No,1.0,Transferência bancária (Automático),19.7,1396.9,1359.3,37.600000000000136
30,0047-ZHDTW,Sem Informação,Feminino,Não,Não,Não,11,Yes,Sim,Fibra ótica,Sim,Não,Não,Não,Não,Não,Mensal,Yes,3.0,Transferência bancária (Automático),79.0,929.3,869.0,60.299999999999955
31,0048-LUMLS,Não,Masculino,Não,Sim,Sim,37,Yes,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Um ano,No,3.0,Cartão de Crédito (Automático),91.2,3247.55,3374.4,-126.84999999999991
32,0048-PIHNL,Não,Feminino,Não,Sim,Não,49,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,No,1.0,Transferência bancária (Automático),20.45,900.9,1002.05,-101.14999999999998
33,0052-DCKON,Não,Masculino,Não,Sim,Não,66,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,No,4.0,Transferência bancária (Automático),115.8,7942.15,7642.8,299.34999999999945
34,0052-YNYOT,Não,Feminino,Não,Não,Não,67,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,No,1.0,Conta Eletrônica,20.55,1343.4,1376.8500000000001,-33.450000000000045
35,0056-EPFBG,Não,Masculino,Não,Sim,Sim,20,No,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Dois anos,Yes,1.0,Cartão de Crédito (Automático),39.4,825.4,788.0,37.39999999999998
36,0057-QBUQH,Não,Feminino,Não,Não,Sim,43,Yes,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Yes,1.0,Conta Eletrônica,25.1,1070.15,1079.3,-9.149999999999864
37,0058-EVZWM,Não,Feminino,Não,Sim,Não,55,Yes,Sim,Fibra ótica,Sim,Não,Não,Não,Sim,Não,Mensal,Yes,3.0,Transferência bancária (Automático),89.8,4959.6,4939.0,20.600000000000364
38,0060-FUALY,Não,Feminino,Não,Sim,Não,59,Yes,Sim,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,Yes,3.0,Conta Eletrônica,94.75,5597.65,5590.25,7.399999999999636
39,0064-SUDOG,Não,Feminino,Não,Sim,Sim,12,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,No,1.0,Transferência bancária (Automático),20.3,224.5,243.60000000000002,-19.100000000000023
40,0064-YIJGF,Não,Masculino,Não,Sim,Sim,27,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Yes,3.0,Transferência bancária (Automático),75.75,1929.0,2045.25,-116.25
41,0067-DKWBL,Sim,Masculino,Sim,Não,Não,2,Yes,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,49.25,91.1,98.5,-7.400000000000006
42,0068-FIGTF,Não,Feminino,Não,Não,Não,27,Yes,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Um ano,No,3.0,Conta Enviada,78.2,2078.95,2111.4,-32.45000000000027
43,0071-NDAFP,Não,Masculino,Não,Sim,Sim,25,Yes,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,No,1.0,Cartão de Crédito (Automático),25.5,630.6,637.5,-6.899999999999977
44,0074-HDKDG,Não,Masculino,Não,Sim,Sim,25,Yes,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Um ano,Yes,2.0,Transferência bancária (Automático),61.6,1611.0,1540.0,71.0
45,0076-LVEPS,Não,Masculino,Não,Não,Sim,29,No,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Yes,2.0,Conta Enviada,45.0,1242.45,1305.0,-62.549999999999955
46,0078-XZMHT,Não,Masculino,Não,Sim,Não,72,Yes,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,3.0,Transferência bancária (Automático),85.15,6316.2,6130.8,185.39999999999964
47,0080-EMYVY,Não,Feminino,Não,Não,Não,14,Yes,Não,DSL,Não,Sim,Não,Não,Não,Não,Um ano,No,2.0,Cartão de Crédito (Automático),51.45,727.85,720.3000000000001,7.5499999999999545
48,0080-OROZO,Não,Feminino,Não,Não,Não,35,Yes,Não,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Um ano,Yes,3.0,Conta Eletrônica,99.25,3532.0,3473.75,58.25
49,0082-LDZUE,Não,Masculino,Não,Não,Não,1,Yes,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Yes,1.0,Conta Enviada,44.3,44.3,44.3,0.0
50,0082-OQIQY,Não,Masculino,Não,Não,Não,29,Yes,Não,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,94.2,2607.6,2731.8,-124.20000000000027
51,0083-PIVIK,Não,Masculino,Não,Não,Não,64,Yes,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Um ano,No,3.0,Conta Eletrônica,81.25,5567.55,5200.0,367.5500000000002
52,0089-IIQKO,Não,Feminino,Não,Sim,Sim,39,Yes,Sim,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,Yes,3.0,Cartão de Crédito (Automático),99.95,3767.4,3898.05,-130.6500000000001
53,0093-EXYQL,Não,Feminino,Sim,Não,Não,40,Yes,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,91.55,3673.6,3662.0,11.599999999999909
54,0093-XWZFY,Sim,Masculino,Não,Não,Não,40,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Yes,3.0,Cartão de Crédito (Automático),104.5,4036.85,4180.0,-143.1500000000001
55,0094-OIFMO,Sim,Feminino,Sim,Não,Não,11,Yes,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,95.0,1120.3,1045.0,75.29999999999995
56,0096-BXERS,Não,Feminino,Não,Sim,Não,6,Yes,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,No,2.0,Conta Eletrônica,50.35,314.55,302.1,12.449999999999989
57,0096-FCPUF,Não,Masculino,Não,Não,Não,30,Yes,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Yes,2.0,Conta Enviada,64.5,1888.45,1935.0,-46.549999999999955
58,0098-BOWSO,Não,Masculino,Não,Não,Não,27,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Yes,1.0,Conta Eletrônica,19.4,529.8,523.8,6.0
59,0100-DUVFC,Não,Masculino,Sim,Sim,Não,70,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Um ano,Yes,3.0,Conta Eletrônica,104.8,7308.95,7336.0,-27.050000000000182
60,0103-CSITQ,Não,Feminino,Não,Sim,Não,57,Yes,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Yes,4.0,Transferência bancária (Automático),109.4,6252.7,6235.8,16.899999999999636
61,0104-PPXDV,Não,Masculino,Não,Sim,Não,58,Yes,Não,DSL,Não,Não,Sim,Não,Não,Não,Um ano,No,2.0,Cartão de Crédito (Automático),50.3,2878.55,2917.3999999999996,-38.849999999999454
62,0106-GHRQR,Não,Masculino,Não,Não,Não,16,Yes,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Yes,2.0,Transferência bancária (Automático),71.4,1212.1,1142.4,69.69999999999982
63,0106-UGRDO,Não,Feminino,Não,Sim,Não,69,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,4.0,Conta Eletrônica,116.0,8182.85,8004.0,178.85000000000036
64,0107-WESLM,Sim,Masculino,Não,Não,Não,1,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Yes,1.0,Conta Eletrônica,19.85,19.85,19.85,0.0
65,0107-YHINA,Sim,Masculino,Não,Não,Sim,1,Yes,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,99.75,99.75,99.75,0.0
66,0111-KLBQG,Não,Masculino,Sim,Sim,Sim,32,Yes,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,Yes,3.0,Conta Enviada,93.95,2861.45,3006.4,-144.95000000000027
67,0112-QAWRZ,Não,Masculino,Não,Sim,Sim,16,Yes,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Não,Mensal,Yes,3.0,Transferência bancária (Automático),90.8,1442.2,1452.8,-10.599999999999909
68,0112-QWPNC,Sim,Masculino,Não,Sim,Não,49,Yes,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Um ano,No,3.0,Conta Eletrônica,84.35,4059.35,4133.15,-73.79999999999973
69,0114-IGABW,Não,Feminino,Não,Sim,Não,71,No,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,No,2.0,Transferência bancária (Automático),58.25,4145.9,4135.75,10.149999999999636
70,0114-PEGZZ,Não,Feminino,Não,Não,Não,33,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,No,4.0,Conta Eletrônica,107.55,3645.5,3549.15,96.34999999999991
71,0114-RSRRW,Não,Feminino,Não,Sim,Não,10,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Yes,1.0,Transferência bancária (Automático),19.95,187.75,199.5,-11.75
72,0115-TFERT,Sim,Masculino,Não,Sim,Não,21,Yes,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Yes,4.0,Conta Eletrônica,111.2,2317.1,2335.2000000000003,-18.100000000000364
73,0117-LFRMW,Sim,Masculino,Não,Sim,Sim,37,No,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,No,1.0,Transferência bancária (Automático),40.2,1448.8,1487.4,-38.600000000000136
74,0118-JPNOY,Não,Feminino,Sim,Não,Não,26,Yes,Não,Fibra ótica,Sim,Não,Não,Não,Sim,Não,Mensal,Yes,3.0,Cartão de Crédito (Automático),85.8,2193.65,2230.7999999999997,-37.149999999999636
75,0120-YZLQA,Sem Informação,Masculino,Não,Não,Não,71,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Yes,1.0,Cartão de Crédito (Automático),19.9,1355.1,1412.8999999999999,-57.799999999999955
76,0121-SNYRK,Não,Masculino,Não,Não,Não,50,No,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Um ano,Yes,1.0,Conta Enviada,35.4,1748.9,1770.0,-21.09999999999991
77,0122-OAHPZ,Sim,Feminino,Não,Não,Não,7,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,73.85,511.25,516.9499999999999,-5.699999999999932
78,0123-CRBRT,Não,Feminino,Não,Sim,Sim,61,Yes,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,No,3.0,Conta Enviada,88.1,5526.75,5374.099999999999,152.65000000000055
79,0125-LZQXK,Sim,Masculino,Não,Não,Não,15,Yes,Não,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,101.35,1553.95,1520.25,33.700000000000045
80,0128-MKWSG,Não,Feminino,Não,Não,Sim,26,No,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,No,2.0,Conta Enviada,45.8,1147.0,1190.8,-43.799999999999955
81,0129-KPTWJ,Não,Masculino,Não,Sim,Não,72,Yes,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,94.65,6747.35,6814.8,-67.44999999999982
82,0129-QMPDR,Não,Masculino,Não,Sim,Sim,44,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Yes,1.0,Transferência bancária (Automático),20.5,865.05,902.0,-36.950000000000045
83,0130-SXOUN,Não,Masculino,Não,Não,Não,66,Yes,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Sim,Mensal,No,3.0,Cartão de Crédito (Automático),89.4,5976.9,5900.400000000001,76.49999999999909
84,0133-BMFZO,Sim,Feminino,Não,Não,Não,2,Yes,Não,Fibra ótica,Sim,Sim,Não,Sim,Não,Não,Mensal,Yes,3.0,Conta Eletrônica,86.25,181.65,172.5,9.150000000000006
85,0134-XWXCE,Não,Feminino,Sim,Não,Não,44,Yes,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Um ano,No,2.0,Transferência bancária (Automático),74.85,3268.05,3293.3999999999996,-25.349999999999454
86,0135-NMXAP,Sim,Feminino,Não,Não,Não,12,Yes,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Mensal,Yes,3.0,Transferência bancária (Automático),89.75,1052.4,1077.0,-24.59999999999991
87,0136-IFMYD,Não,Masculino,Sim,Sim,Não,69,Yes,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,4.0,Conta Eletrônica,109.95,7634.25,7586.55,47.69999999999982
88,0137-OCGAB,Sim,Feminino,Não,Não,Não,1,Yes,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Mensal,Yes,3.0,Conta Enviada,80.2,80.2,80.2,0.0
89,0137-UDEUO,Sim,Feminino,Não,Não,Não,3,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,No,1.0,Conta Enviada,19.85,63.75,59.550000000000004,4.199999999999996
90,0139-IVFJG,Não,Feminino,Não,Sim,Não,2,Yes,Não,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,No,3.0,Conta Eletrônica,90.35,190.5,180.7,9.800000000000011
91,0141-YEAYS,Não,Feminino,Sim,Não,Não,27,Yes,Sim,Fibra ótica,Não,Sim,Sim,Não,Não,Não,Mensal,Yes,3.0,Transferência bancária (Automático),86.45,2401.05,2334.15,66.90000000000009
92,0142-GVYSN,Não,Masculino,Não,Não,Não,26,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Yes,1.0,Conta Eletrônica,20.3,511.25,527.8000000000001,-16.550000000000068
93,0147-ESWWR,Não,Feminino,Sim,Sim,Não,39,Yes,Sim,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,101.25,3949.15,3948.75,0.40000000000009095
94,0148-DCDOS,Sim,Masculino,Não,Não,Não,25,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Mensal,Yes,3.0,Transferência bancária (Automático),94.7,2362.1,2367.5,-5.400000000000091
95,0151-ONTOV,Sim,Feminino,Não,Não,Não,1,Yes,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,No,2.0,Conta Enviada,70.9,70.9,70.9,0.0
96,0154-QYHJU,Sem Informação,Masculino,Não,Não,Não,29,Yes,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Um ano,Yes,2.0,Conta Eletrônica,58.75,1696.2,1703.75,-7.5499999999999545
97,0156-FVPTA,Sim,Masculino,Não,Sim,Não,22,Yes,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,54.2,1152.7,1192.4,-39.700000000000045
98,0162-RZGMZ,Sem Informação,Feminino,Sim,Não,Não,5,Yes,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,No,2.0,Cartão de Crédito (Automático),59.9,287.85,299.5,-11.649999999999977
99,0164-APGRB,Não,Feminino,Não,Não,Não,72,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,4.0,Conta Eletrônica,114.9,8496.7,8272.800000000001,223.89999999999964
100,0164-XAIRP,Não,Feminino,Não,Não,Não,24,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Yes,1.0,Transferência bancária (Automático),19.55,470.2,469.20000000000005,0.9999999999999432
101,0168-XZKBB,Não,Feminino,Não,Sim,Não,19,Yes,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Não,Mensal,Yes,3.0,Conta Eletrônica,86.85,1564.4,1650.1499999999999,-85.74999999999977
102,0174-QRVVY,Não,Masculino,Não,Sim,Sim,71,Yes,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,No,1.0,Cartão de Crédito (Automático),25.35,1847.55,1799.8500000000001,47.69999999999982
103,0177-PXBAT,Não,Masculino,Sim,Sim,Não,33,Yes,Sim,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Yes,4.0,Transferência bancária (Automático),109.9,3694.7,3626.7000000000003,67.99999999999955
104,0178-CIIKR,Não,Feminino,Não,Não,Não,3,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,No,1.0,Conta Enviada,19.95,58.0,59.849999999999994,-1.8499999999999943
105,0178-SZBHO,Não,Masculino,Não,Sim,Sim,47,Yes,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Mensal,No,3.0,Conta Eletrônica,87.2,4017.45,4098.400000000001,-80.95000000000073
106,0181-RITDD,Não,Masculino,Não,Sim,Sim,62,Yes,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,No,4.0,Conta Enviada,108.15,6825.65,6705.3,120.34999999999945
107,0186-CAERR,Não,Masculino,Não,Não,Não,71,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Yes,4.0,Transferência bancária (Automático),116.3,8309.55,8257.3,52.25
108,0187-QSXOE,Não,Masculino,Sim,Sim,Não,7,Yes,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,89.0,605.45,623.0,-17.549999999999955
109,0187-WZNAB,Não,Feminino,Não,Sim,Sim,27,Yes,Não,Fibra ótica,Sim,Não,Não,Não,Não,Não,Mensal,No,2.0,Conta Enviada,74.4,1972.35,2008.8000000000002,-36.45000000000027
110,0188-GWFLE,Não,Masculino,Não,Não,Não,2,Yes,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,No,1.0,Conta Enviada,20.05,33.7,40.1,-6.399999999999999
111,0191-EQUUH,Não,Feminino,Não,Não,Sim,25,No,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Dois anos,No,1.0,Transferência bancária (Automático),35.05,844.45,876.2499999999999,-31.79999999999984
112,0191-ZHSKZ,Não,Masculino,Sim,Não,Não,30,Yes,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Yes,2.0,Conta Eletrônica,74.75,2111.3,2242.5,-131.19999999999982
113,0193-ESZXP,Sim,Feminino,Sim,Sim,Não,58,Yes,Não,Fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Um ano,Yes,4.0,Cartão de Crédito (Automático),105.5,6205.5,6119.0,86.5
